X Y Z
0.239104 0.188073 1.942882
0.249522 -0.067651 1.890965
0.251061 0.189818 1.946326
0.340175 0.030608 1.961495
0.052582 0.115516 1.926974
0.103682 -0.220317 1.854030
0.024320 0.166904 1.949359
0.238026 0.009090 1.903562
0.232577 0.111610 1.920651
0.240416 0.177675 1.937981
0.060306 0.108024 1.930574
0.040065 -0.200133 1.875514
0.177247 0.437658 1.980522
0.232104 -0.067168 1.885994
0.234419 0.173794 1.935865
0.166892 0.095283 1.906882
0.229000 -0.046959 1.891114
0.254810 0.172677 1.945605
0.072446 0.763709 2.058825
0.224523 0.174954 1.932941
0.266802 0.044301 1.924021
0.275469 0.039306 1.920861
0.299783 0.032860 1.930872
0.103468 -0.221190 1.856768
0.282935 0.016766 1.925209
0.252254 0.138715 1.934848
0.156232 0.104601 1.910077
0.301783 0.010426 1.929037
0.016282 0.167401 1.954914
0.229687 0.005201 1.899879
0.220267 -0.001579 1.896306
0.257659 -0.003678 1.906971
0.176562 0.438739 1.986025
0.249774 0.131589 1.933393
0.223682 0.130930 1.925714
0.037876 -0.201299 1.877154
0.232303 0.112653 1.921532
0.208882 -0.206122 1.855067
0.216446 0.119138 1.922234
0.225289 0.118713 1.919943
0.230720 -0.048303 1.889905
0.249704 0.126804 1.932847
0.161272 0.120940 1.916179
0.311430 -0.069330 1.918062
0.268439 -0.066898 1.903295
0.275042 -0.198058 1.886713
0.073257 0.762054 2.058862
